"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Artificial Anasazi_experiments.nlogo"
"experiment single run"
"02/06/2025 23:30:32:124 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","79","0","119"
"[run number]","fertility","death-age","harvest-variance","fertility-ends-age","harvest-adjustment","map-view","historic-view?","[step]","total-households","historical-total-households"
"1","0.155","38","0.4","34","0.54","zones","true","343","86","151"
"1","0.155","38","0.4","34","0.54","zones","true","344","84","151"
"1","0.155","38","0.4","34","0.54","zones","true","345","83","152"
"1","0.155","38","0.4","34","0.54","zones","true","346","82","152"
"1","0.155","38","0.4","34","0.54","zones","true","347","78","152"
"1","0.155","38","0.4","34","0.54","zones","true","348","78","153"
"1","0.155","38","0.4","34","0.54","zones","true","349","78","153"
"1","0.155","38","0.4","34","0.54","zones","true","350","75","153"
"1","0.155","38","0.4","34","0.54","zones","true","351","73","116"
"1","0.155","38","0.4","34","0.54","zones","true","352","74","117"
"1","0.155","38","0.4","34","0.54","zones","true","353","69","118"
"1","0.155","38","0.4","34","0.54","zones","true","354","72","118"
"1","0.155","38","0.4","34","0.54","zones","true","355","72","119"
"1","0.155","38","0.4","34","0.54","zones","true","356","70","119"
"1","0.155","38","0.4","34","0.54","zones","true","357","69","120"
"1","0.155","38","0.4","34","0.54","zones","true","358","65","121"
"1","0.155","38","0.4","34","0.54","zones","true","359","66","122"
"1","0.155","38","0.4","34","0.54","zones","true","360","68","126"
"1","0.155","38","0.4","34","0.54","zones","true","361","69","124"
"1","0.155","38","0.4","34","0.54","zones","true","362","67","124"
"1","0.155","38","0.4","34","0.54","zones","true","363","70","124"
"1","0.155","38","0.4","34","0.54","zones","true","364","72","126"
"1","0.155","38","0.4","34","0.54","zones","true","365","76","127"
"1","0.155","38","0.4","34","0.54","zones","true","366","78","127"
"1","0.155","38","0.4","34","0.54","zones","true","367","80","129"
"1","0.155","38","0.4","34","0.54","zones","true","368","81","131"
"1","0.155","38","0.4","34","0.54","zones","true","369","83","131"
"1","0.155","38","0.4","34","0.54","zones","true","370","89","133"
"1","0.155","38","0.4","34","0.54","zones","true","371","95","132"
"1","0.155","38","0.4","34","0.54","zones","true","372","99","134"
"1","0.155","38","0.4","34","0.54","zones","true","373","95","134"
"1","0.155","38","0.4","34","0.54","zones","true","374","98","136"
"1","0.155","38","0.4","34","0.54","zones","true","375","99","137"
"1","0.155","38","0.4","34","0.54","zones","true","376","102","133"
"1","0.155","38","0.4","34","0.54","zones","true","377","106","138"
"1","0.155","38","0.4","34","0.54","zones","true","378","110","138"
"1","0.155","38","0.4","34","0.54","zones","true","379","114","139"
"1","0.155","38","0.4","34","0.54","zones","true","380","120","139"
"1","0.155","38","0.4","34","0.54","zones","true","381","126","138"
"1","0.155","38","0.4","34","0.54","zones","true","382","128","140"
"1","0.155","38","0.4","34","0.54","zones","true","383","134","140"
"1","0.155","38","0.4","34","0.54","zones","true","384","134","142"
"1","0.155","38","0.4","34","0.54","zones","true","385","133","142"
"1","0.155","38","0.4","34","0.54","zones","true","386","134","142"
"1","0.155","38","0.4","34","0.54","zones","true","387","134","143"
"1","0.155","38","0.4","34","0.54","zones","true","388","134","143"
"1","0.155","38","0.4","34","0.54","zones","true","389","134","144"
"1","0.155","38","0.4","34","0.54","zones","true","390","134","145"
"1","0.155","38","0.4","34","0.54","zones","true","391","134","145"
"1","0.155","38","0.4","34","0.54","zones","true","392","134","147"
"1","0.155","38","0.4","34","0.54","zones","true","393","134","146"
"1","0.155","38","0.4","34","0.54","zones","true","394","134","147"
"1","0.155","38","0.4","34","0.54","zones","true","395","134","147"
"1","0.155","38","0.4","34","0.54","zones","true","396","134","149"
"1","0.155","38","0.4","34","0.54","zones","true","397","134","149"
"1","0.155","38","0.4","34","0.54","zones","true","398","134","150"
"1","0.155","38","0.4","34","0.54","zones","true","399","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","400","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","401","134","145"
"1","0.155","38","0.4","34","0.54","zones","true","402","134","146"
"1","0.155","38","0.4","34","0.54","zones","true","403","134","146"
"1","0.155","38","0.4","34","0.54","zones","true","404","134","147"
"1","0.155","38","0.4","34","0.54","zones","true","405","134","148"
"1","0.155","38","0.4","34","0.54","zones","true","406","134","149"
"1","0.155","38","0.4","34","0.54","zones","true","407","133","149"
"1","0.155","38","0.4","34","0.54","zones","true","408","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","409","134","153"
"1","0.155","38","0.4","34","0.54","zones","true","410","134","154"
"1","0.155","38","0.4","34","0.54","zones","true","411","134","155"
"1","0.155","38","0.4","34","0.54","zones","true","412","134","157"
"1","0.155","38","0.4","34","0.54","zones","true","413","134","159"
"1","0.155","38","0.4","34","0.54","zones","true","414","134","160"
"1","0.155","38","0.4","34","0.54","zones","true","415","134","161"
"1","0.155","38","0.4","34","0.54","zones","true","416","134","163"
"1","0.155","38","0.4","34","0.54","zones","true","417","133","164"
"1","0.155","38","0.4","34","0.54","zones","true","418","134","166"
"1","0.155","38","0.4","34","0.54","zones","true","419","134","167"
"1","0.155","38","0.4","34","0.54","zones","true","420","129","167"
"1","0.155","38","0.4","34","0.54","zones","true","421","133","169"
"1","0.155","38","0.4","34","0.54","zones","true","422","134","169"
"1","0.155","38","0.4","34","0.54","zones","true","423","134","171"
"1","0.155","38","0.4","34","0.54","zones","true","424","134","171"
"1","0.155","38","0.4","34","0.54","zones","true","425","132","173"
"1","0.155","38","0.4","34","0.54","zones","true","426","134","170"
